[0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0],
[0.314159 , 0.314159 , 0.314159 , 0.314159 , 0.314159 , 0.314159 , 0.314159 , 0.314159 , 0.314159 , 0.314159 , 0.314159 , 0.314159 , 0.314159 , 0.314159 , 0.314159 , 0.314159 , 0.314159 , 0.314159 , 0.314159 , 0.314159],
[0.628319 , 0.628319 , 0.628319 , 0.628319 , 0.628319 , 0.628319 , 0.628319 , 0.628319 , 0.628319 , 0.628319 , 0.628319 , 0.628319 , 0.628319 , 0.628319 , 0.628319 , 0.628319 , 0.628319 , 0.628319 , 0.628319 , 0.628319],
[0.942478 , 0.942478 , 0.942478 , 0.942478 , 0.942478 , 0.942478 , 0.942478 , 0.942478 , 0.942478 , 0.942478 , 0.942478 , 0.942478 , 0.942478 , 0.942478 , 0.942478 , 0.942478 , 0.942478 , 0.942478 , 0.942478 , 0.942478],
[1.25664 , 1.25664 , 1.25664 , 1.25664 , 1.25664 , 1.25664 , 1.25664 , 1.25664 , 1.25664 , 1.25664 , 1.25664 , 1.25664 , 1.25664 , 1.25664 , 1.25664 , 1.25664 , 1.25664 , 1.25664 , 1.25664 , 1.25664],
[1.5708 , 1.5708 , 1.5708 , 1.5708 , 1.5708 , 1.5708 , 1.5708 , 1.5708 , 1.5708 , 1.5708 , 1.5708 , 1.5708 , 1.5708 , 1.5708 , 1.5708 , 1.5708 , 1.5708 , 1.5708 , 1.5708 , 1.5708],
[1.88496 , 1.88496 , 1.88496 , 1.88496 , 1.88496 , 1.88496 , 1.88496 , 1.88496 , 1.88496 , 1.88496 , 1.88496 , 1.88496 , 1.88496 , 1.88496 , 1.88496 , 1.88496 , 1.88496 , 1.88496 , 1.88496 , 1.88496],
[2.19911 , 2.19911 , 2.19911 , 2.19911 , 2.19911 , 2.19911 , 2.19911 , 2.19911 , 2.19911 , 2.19911 , 2.19911 , 2.19911 , 2.19911 , 2.19911 , 2.19911 , 2.19911 , 2.19911 , 2.19911 , 2.19911 , 2.19911],
[2.51327 , 2.51327 , 2.51327 , 2.51327 , 2.51327 , 2.51327 , 2.51327 , 2.51327 , 2.51327 , 2.51327 , 2.51327 , 2.51327 , 2.51327 , 2.51327 , 2.51327 , 2.51327 , 2.51327 , 2.51327 , 2.51327 , 2.51327],
[2.82743 , 2.82743 , 2.82743 , 2.82743 , 2.82743 , 2.82743 , 2.82743 , 2.82743 , 2.82743 , 2.82743 , 2.82743 , 2.82743 , 2.82743 , 2.82743 , 2.82743 , 2.82743 , 2.82743 , 2.82743 , 2.82743 , 2.82743],
[3.14159 , 3.14159 , 3.14159 , 3.14159 , 3.14159 , 3.14159 , 3.14159 , 3.14159 , 3.14159 , 3.14159 , 3.14159 , 3.14159 , 3.14159 , 3.14159 , 3.14159 , 3.14159 , 3.14159 , 3.14159 , 3.14159 , 3.14159],
[3.45575 , 3.45575 , 3.45575 , 3.45575 , 3.45575 , 3.45575 , 3.45575 , 3.45575 , 3.45575 , 3.45575 , 3.45575 , 3.45575 , 3.45575 , 3.45575 , 3.45575 , 3.45575 , 3.45575 , 3.45575 , 3.45575 , 3.45575],
[3.76991 , 3.76991 , 3.76991 , 3.76991 , 3.76991 , 3.76991 , 3.76991 , 3.76991 , 3.76991 , 3.76991 , 3.76991 , 3.76991 , 3.76991 , 3.76991 , 3.76991 , 3.76991 , 3.76991 , 3.76991 , 3.76991 , 3.76991],
[4.08407 , 4.08407 , 4.08407 , 4.08407 , 4.08407 , 4.08407 , 4.08407 , 4.08407 , 4.08407 , 4.08407 , 4.08407 , 4.08407 , 4.08407 , 4.08407 , 4.08407 , 4.08407 , 4.08407 , 4.08407 , 4.08407 , 4.08407],
[4.39823 , 4.39823 , 4.39823 , 4.39823 , 4.39823 , 4.39823 , 4.39823 , 4.39823 , 4.39823 , 4.39823 , 4.39823 , 4.39823 , 4.39823 , 4.39823 , 4.39823 , 4.39823 , 4.39823 , 4.39823 , 4.39823 , 4.39823],
[4.71239 , 4.71239 , 4.71239 , 4.71239 , 4.71239 , 4.71239 , 4.71239 , 4.71239 , 4.71239 , 4.71239 , 4.71239 , 4.71239 , 4.71239 , 4.71239 , 4.71239 , 4.71239 , 4.71239 , 4.71239 , 4.71239 , 4.71239],
[5.02655 , 5.02655 , 5.02655 , 5.02655 , 5.02655 , 5.02655 , 5.02655 , 5.02655 , 5.02655 , 5.02655 , 5.02655 , 5.02655 , 5.02655 , 5.02655 , 5.02655 , 5.02655 , 5.02655 , 5.02655 , 5.02655 , 5.02655],
[5.34071 , 5.34071 , 5.34071 , 5.34071 , 5.34071 , 5.34071 , 5.34071 , 5.34071 , 5.34071 , 5.34071 , 5.34071 , 5.34071 , 5.34071 , 5.34071 , 5.34071 , 5.34071 , 5.34071 , 5.34071 , 5.34071 , 5.34071],
[5.65487 , 5.65487 , 5.65487 , 5.65487 , 5.65487 , 5.65487 , 5.65487 , 5.65487 , 5.65487 , 5.65487 , 5.65487 , 5.65487 , 5.65487 , 5.65487 , 5.65487 , 5.65487 , 5.65487 , 5.65487 , 5.65487 , 5.65487],
[5.96903 , 5.96903 , 5.96903 , 5.96903 , 5.96903 , 5.96903 , 5.96903 , 5.96903 , 5.96903 , 5.96903 , 5.96903 , 5.96903 , 5.96903 , 5.96903 , 5.96903 , 5.96903 , 5.96903 , 5.96903 , 5.96903 , 5.96903],
